1  1  1  1  1  3
2  1  1  1  1  2
3  1  1  2  1  3
4  1  1  2  2  1
5  1  2  1  1  3
6  1  2  1  2  2
7  1  2  2  1  3
8  1  2  2  2  1
9  2  1  1  1  3
10 2  1  1  2  2
11 2  1  2  1  1
12 2  1  2  2  1
13 2  2  1  1  3
14 1  2  1  2  2
15 2  2  2  1  3
16 2  2  2  2  3
17 3  1  1  1  3
18 3  1  1  2  3
19 3  1  2  1  3
20 3  1  2  2  1
21 3  2  1  1  3
22 2  2  1  2  2
23 3  2  2  1  3
24 3  2  2  2  3
25 2  2  2  1  3
26 1  2  2  2  3
27 3  1  1  1  3
28 3  1  1  2  3
29 3  1  2  1  3
30 3  1  2  2  1
31 2  1  2  1  3
32 2  1  2  2  1
33 2  2  1  1  3
34 2  2  1  2  2
35 2  2  2  1  3
36 2  2  2  2  3
37 3  1  2  1  3
38 3  1  1  2  3
39 3  1  2  1  3
40 3  1  2  1  3
41 2  1  2  1  3
42 2  1  2  2  1
43 2  2  1  1  3
44 2  2  2  2  3
45 2  2  2  1  2
46 2  2  2  2  3
47 3  1  1  1  3
48 3  1  1  2  3
49 3  1  3  1  3
50 3  1  2  2  1
51 2  1  2  1  3
52 2  1  2  2  1
53 1  2  1  1  3
54 2  2  1  2  2
55 2  2  2  1  3
56 2  2  2  2  3
57 3  1  1  1  3
58 3  1  1  2  3
59 3  1  2  1  3
60 3  1  2  2  1
61 3  2  1  1  3
62 3  2  1  2  2
63 3  2  2  1  3
64 3  2  2  2  3
65 2  2  2  1  3
66 1  2  2  2  3
67 3  1  1  1  3
68 3  1  1  2  3
69 3  1  2  1  3
70 3  2  2  2  1
71 2  1  2  1  3
72 2  1  2  2  1
73 2  2  1  1  3
74 2  2  1  2  2
75 2  2  2  1  3
76 2  2  2  2  3
77 3  1  2  1  3
78 3  1  1  2  3
79 3  1  2  1  3
80 3  1  2  2  1
81 3  2  1  1  3
82 3  2  1  2  2
83 3  2  2  1  3
84 3  1  2  2  2
85 2  2  2  1  3
86 2  2  2  2  3
87 3  1  2  1  3
88 3  1  1  2  3
89 3  1  2  1  3
80 3  1  2  2  1
90 3  1  2  2  1
91 2  1  2  1  3
92 2  1  2  2  1
93 2  2  1  3  3
94 3  2  1  2  2
95 2  2  2  1  3
96 2  2  2  2  3
97 3  1  1  1  3
98 3  1  1  2  3
99 3  1  2  1  3
100 3  1  2  2  1
